"county","cases","latitude","longitude"
"Arkansas, Cleburne","65","35.5298937","-92.0312818"
"Arkansas, Cleveland","4","33.8847138","-92.1724506"
"Arkansas, Columbia","3","33.1938586","-93.2344337"
"Arkansas, Conway","3","35.2521996","-92.6888936"
"Arkansas, Craighead","16","35.8348413","-90.6441144"
"Arkansas, Crawford","3","35.5803044","-94.2684622"
"Arkansas, Crittenden","43","35.2505701","-90.3192299"
"Arkansas, Cross","5","35.3001216","-90.7750181"
"Arkansas, Desha","4","33.7740219","-91.3110517"
"Arkansas, Drew","3","33.5716907","-91.7160969"
"Arkansas, Faulkner","40","35.1470851","-92.3219053"
"Arkansas, Garland","40","34.5488944","-93.1838539"
"Arkansas, Grant","3","34.2773864","-92.420578"
"Arkansas, Greene","4","36.091803","-90.5778883"
"Arkansas, Hempstead","3","33.6949319","-93.6929825"
"Arkansas, Hot Spring","5","34.2956351","-92.9005742"
"Arkansas, Howard","4","34.0744088","-93.9745776"
"Arkansas, Independence","4","35.718344","-91.55326"
"Arkansas, Jefferson","53","34.2711667","-91.9248307"
"Arkansas, Johnson","7","35.5600697","-93.4550108"
"Arkansas, Lafayette","1","33.1821484","-93.5972459"
"Arkansas, Lawrence","3","36.0078212","-91.1655476"
"Arkansas, Lee","1","34.7836833","-90.7759619"
"Arkansas, Lincoln","6","33.9359663","-91.7713274"
"Arkansas, Lonoke","16","34.7414404","-91.862792"
"Arkansas, Miller","8","33.2766729","-93.9214795"
"Arkansas, Mississippi","1","35.7547987","-90.0875933"
"Arkansas, Monroe","1","34.6778982","-91.2289578"
"Arkansas, Nevada","1","33.6413476","-93.3055491"
"Arkansas, Newton","1","35.918468","-93.2273047"
"Arkansas, Ouachita","1","33.5680929","-92.9355875"
"Arkansas, Perry","2","34.9616474","-92.8757514"
"Arkansas, Pike","2","35.2048883","-92.4479108"
"Arkansas, Poinsett","5","35.5730183","-90.6717121"
"Arkansas, Polk","5","34.4995799","-94.2397116"
"Arkansas, Pope","8","35.453867","-93.0498623"
"Arkansas, Prairie","1","34.8105247","-91.5751148"
"Arkansas, Pulaski","137","34.7550166","-92.3003472"
"Arkansas, Randolph","3","36.3412315","-91.0387017"
"Arkansas, Saline","21","34.6021249","-92.6542869"
"Arkansas, Scott","1","34.8469384","-94.0431714"
"Arkansas, Searcy","4","35.9018987","-92.7098744"
"Arkansas, Sebastian","8","35.1770785","-94.2654285"
"Arkansas, Sevier","3","33.9867858","-94.243888"
"Arkansas, Sharp","1","36.1344424","-91.4930274"
"Arkansas, St. Francis","2","35.0153956","-90.7263194"
"Arkansas, Stone","5","35.8317159","-92.1747633"
"Arkansas, Union","10","33.1637366","-92.6171029"
"Arkansas, Unknown","13","36.1871198","-90.3839161"
"Arkansas, Van Buren","20","35.5759086","-92.4916144"
"Arkansas, Washington","25","35.9672625","-94.2280656"
"Arkansas, White","23","35.2463042","-91.7169687"
"Arkansas, Woodruff","1","35.1714574","-91.2229851"
"California, Alameda","464","37.6090291","-121.899142"
"California, Alpine","1","38.5893934","-119.8345013"
"California, Amador","3","38.449089","-120.5911018"
"California, Butte","11","39.6519275","-121.5858444"
"California, Calaveras","4","38.2558181","-120.4981492"
"California, Colusa","2","39.1465578","-122.2209563"
"California, Contra Costa","307","37.9034806","-121.9175345"
"California, Del Norte","1","41.7261767","-123.91328"
"California, El Dorado","22","38.7574137","-120.5276129"
"California, Fresno","100","36.7295295","-119.70886126075588"
"California, Glenn","2","39.5912766","-122.3778662"
"California, Humboldt","40","40.5997415","-123.8997734"
"California, Imperial","55","33.0305487","-115.3595666"
"California, Inyo","10","36.5595325","-117.4074712"
"California, Kern","199","35.3145701","-118.7538222"
"California, Kings","5","36.0784807","-119.7956342"
"California, Los Angeles","4566","34.0536909","-118.2427666"
"California, Madera","28","36.9418115","-120.17143817857144"
"California, Marin","131","38.0409144","-122.6199638"
"California, Mendocino","4","39.3176491","-123.4126399"
"California, Merced","16","37.1641544","-120.7678602"
"California, Mono","19","37.9533927","-118.9398758"
"California, Monterey","53","36.2231079","-121.3877428"
"California, Napa","21","38.2971367","-122.2855293"
"California, Nevada","31","39.3540335","-120.8089843"
"California, Orange","711","33.7500378","-117.8704931"
"California, Placer","97","39.1012064","-120.7650606"
"California, Plumas","2","39.9430988","-120.8059521"
"California, Riverside","638","33.9533546","-117.3961623"
"California, Sacramento","389","38.5815719","-121.4943996"
"California, San Benito","23","36.6248089","-121.1177379"
"California, San Bernardino","353","34.8253019","-116.0833144"
"California, San Diego","1112","32.7174209","-117.1627714"
"California, San Francisco","500","37.7790262","-122.4199061"
"California, San Joaquin","185","37.9372901","-121.2773719"
"California, San Luis Obispo","93","35.3540209","-120.3757163"
"California, San Mateo","486","37.496904","-122.3330573"
"California, Santa Barbara","152","34.4221319","-119.7026673"
"California, Santa Clara","1094","37.2333253","-121.6846349"
"California, Santa Cruz","59","37.050096","-121.9905908"
"California, Shasta","11","40.7965121","-121.9979194"
"California, Siskiyou","3","41.5007223","-122.54435414752092"
"California, Solano","78","38.2218938","-121.9163555"
"California, Sonoma","100","38.5110803","-122.8473388"
"California, Stanislaus","58","37.5500871","-121.0501425"
"California, Sutter","16","38.9509675","-121.697088"
"California, Tehama","1","40.1251334","-122.2015529"
"California, Tulare","81","36.2516475","-118.852583"
"California, Tuolumne","1","38.056944","-119.9919351"
"California, Unknown","0","38.5427765","-121.7589063"
"California, Ventura","189","34.4458248","-119.0779359"
"California, Yolo","33","38.7184542","-121.9059001"
"California, Yuba","9","39.2839755","-121.3556818"
"Colorado, Adams","294","39.8714085","-104.2701374"
"Colorado, Alamosa","4","37.5780995","-105.7890452"
"Colorado, Arapahoe","500","39.6416781","-104.3628567"
"Colorado, Archuleta","1","37.1995993","-107.0842479"
"Colorado, Baca","9","37.3147687","-102.5770885"
"Colorado, Boulder","143","40.0149856","-105.2705456"
"Colorado, Broomfield","36","39.9203827","-105.0691464"
"Colorado, Chaffee","19","38.7413025","-106.1825012"
"Colorado, Clear Creek","6","39.6754591","-105.6435349"
"Colorado, Costilla","3","37.2367948","-105.4182008"
"Colorado, Crowley","1","38.3394806","-103.8263042"
"Colorado, Custer","2","38.1072962","-105.3543375"
"Colorado, Delta","4","38.8368777","-107.8568294"
"Colorado, Denver","716","39.7392364","-104.9848623"
"Colorado, Douglas","194","39.3420437","-104.9468945"
"Colorado, Eagle","333","39.6161124","-106.7172844"
"Colorado, El Paso","374","38.8287435","-104.5253456"
"Colorado, Elbert","6","39.3138822","-104.0868973"
"Colorado, Fremont","2","38.4692006","-105.4328622"
"Colorado, Garfield","45","39.5462048","-107.8776144"
"Colorado, Grand","4","46.8549181","9.515484"
"Colorado, Gunnison","88","38.6476702","-107.0603126"
"Colorado, Hinsdale","1","37.813681","-107.3304179"
"Colorado, Huerfano","1","37.7013983","-105.0218531"
"Colorado, Jefferson","440","39.5699803","-105.2561919"
"Colorado, Kit Carson","4","39.3080613","-102.62075"
"Colorado, La Plata","25","37.2889732","-107.8539029"
"Colorado, Lake","3","39.273651","-106.289678"
"Colorado, Larimer","134","40.6810174","-105.4726907"
"Colorado, Las Animas","1","37.3096626","-104.0591427"
"Colorado, Lincoln","1","38.9208296","-103.4885462"
"Colorado, Logan","7","40.7250975","-103.1221379"
"Colorado, Mesa","20","39.0589084","-108.565996"
"Colorado, Mineral","2","37.6584133","-106.9311267"
"Colorado, Moffat","4","40.6083135","-108.252345"
"Colorado, Montezuma","3","37.3476546","-108.6260849"
"Colorado, Montrose","26","38.4375391","-108.2403855"
"Colorado, Morgan","7","40.2407621","-103.8225695"
"Colorado, Otero","3","37.8872079","-103.7415268"
"Colorado, Park","5","38.7251776","-105.6077167"
"Colorado, Phillips","2","40.5888329","-102.3701723"
"Colorado, Pitkin","38","39.2037774","-106.8695332"
"Colorado, Pueblo","39","38.2544472","-104.609141"
"Colorado, Rio Blanco","1","39.9847294","-108.1807779"
"Colorado, Rio Grande","5","37.5668223","-106.3832155"
"Colorado, Routt","28","40.4514373","-106.9724072"
"Colorado, Saguache","3","38.0945348","-106.3563372"
"Colorado, San Miguel","9","37.96345975","-108.41184816085345"
"Colorado, Summit","35","39.6070951","-106.0636654"
"Colorado, Teller","11","38.889575","-105.1797307"
"Colorado, Unknown","158","32.1977875","-110.8220644"
"Colorado, Washington","1","39.9017011","-103.1521676"
"Colorado, Weld","379","40.5632344","-104.4835287"
"Colorado, Yuma","2","40.0163487","-102.458253"
"Connecticut, Fairfield","2717","41.2943069","-73.37486"
"Connecticut, Hartford","679","41.764582","-72.6908547"
"Connecticut, Litchfield","173","41.7442295","-73.18996145265724"
"Connecticut, Middlesex","91","41.4510811","-72.5528113"
"Connecticut, New Haven","891","41.3082138","-72.9250518"
"Connecticut, New London","40","41.3556187","-72.0997804"
"Connecticut, Tolland","79","41.8700166","-72.3677153"
"Connecticut, Unknown","218","33.7110934","-117.7939237"
"Connecticut, Windham","27","41.6999029","-72.1575772"
"Delaware, Kent","54","39.1156908","-75.4841394"
"Delaware, New Castle","279","39.6159851","-75.662956"
"Delaware, Sussex","117","38.6908097","-75.3691421"
"District of Columbia, District of Columbia","757","38.90651435","-77.03737669188929"
"Florida, Alachua","110","29.675568","-82.3640109"
"Florida, Baker","11","30.3143459","-82.2847163"
"Florida, Bay","18","27.7567667","-81.4639835"
"Florida, Bradford","5","29.9715087","-82.1608653"
"Florida, Brevard","62","28.2446658","-80.728624"
"Florida, Broward","1598","26.1598074","-80.4623642"
"Florida, Calhoun","2","30.3853734","-85.2223516"
"Florida, Charlotte","43","26.9013269","-81.9156799"
"Florida, Citrus","28","28.8512851","-82.5141209"
"Florida, Clay","69","29.9766524","-81.8470596"
"Florida, Collier","203","26.087964","-81.3794941"
"Florida, Columbia","4","3.30080485","-76.1905432829982"
"Florida, DeSoto","9","27.190253","-81.8244232"
"Florida, Duval","323","30.3540073","-81.6632109"
"Florida, Escambia","113","30.6625885","-87.3451089"
"Florida, Flagler","28","29.4844412","-81.2917415"
"Florida, Franklin","1","29.8323143","-84.8239118"
"Florida, Gadsden","2","30.5937346","-84.6389937"
"Florida, Glades","3","26.9328123","-81.1895983"
"Florida, Gulf","1","29.9665252","-85.2175889"
"Florida, Hardee","1","27.4856349","-81.8196804"
"Florida, Hendry","5","26.597094","-81.1520667"
"Florida, Hernando","38","28.5710156","-82.4605068"
"Florida, Highlands","26","27.3513186","-81.3615717"
"Florida, Hillsborough","463","27.9184543","-82.3488057"
"Florida, Holmes","1","30.8918676","-85.8138207"
"Florida, Indian River","47","27.7041555","-80.5894422"
"Florida, Jackson","4","30.8013861","-85.2063186"
"Florida, Lake","88","28.876887","-81.695584"
"Florida, Lee","303","26.5999265","-81.8823135"
"Florida, Leon","38","30.4683062","-84.2549068"
"Florida, Levy","2","29.3008632","-82.7824592"
"Florida, Madison","4","30.4514352","-83.4524524"
"Florida, Manatee","104","27.5213933","-82.3801566"
"Florida, Marion","38","29.2182454","-82.0626948"
"Florida, Martin","42","27.7567667","-81.4639835"
"Florida, Miami-Dade","3363","25.6364246","-80.4989467"
"Florida, Monroe","40","25.0405135","-80.8337157"
"Florida, Nassau","19","30.6624329","-81.7707334"
"Florida, Okaloosa","53","30.6765961","-86.6037748"
"Florida, Okeechobee","2","27.3923408","-80.8873655"
"Florida, Orange","601","28.5421109","-81.3790304"
"Florida, Osceola","201","28.0443842","-81.1437541"
"Florida, Palm Beach","856","26.6279798","-80.4494174"
"Florida, Pasco","77","28.2996183","-82.4522702"
"Florida, Pinellas","318","27.8778904","-82.7329309"
"Florida, Polk","126","27.9448537","-81.7268789"
"Florida, Putnam","15","29.6266155","-81.7230549"
"Florida, Santa Rosa","48","30.6964502","-87.0097524"
"Florida, Sarasota","124","27.3364347","-82.5306527"
"Florida, Seminole","163","28.7225829","-81.2353683"
"Florida, St. Johns","119","29.9032284","-81.4145468"
"Florida, St. Lucie","60","27.3900897","-80.457904"
"Florida, Sumter","68","28.6689748","-82.076402"
"Florida, Suwannee","11","30.2101192","-82.9873377"
"Florida, Union","1","30.044304","-82.3954479"
"Florida, Unknown","10","39.9785308","-75.4322406"
"Florida, Volusia","125","29.0533409","-81.1310761"
"Florida, Wakulla","3","30.1480038","-84.3543512"
"Florida, Walton","19","30.6204939","-86.1912678"
"Florida, Washington","1","30.6009343","-85.6762025"
"Georgia, Appling","5","31.7771435","-82.2996274"
"Georgia, Bacon","6","31.5555512","-82.4442559"
"Georgia, Baker","4","41.6331527","41.6043549"
"Georgia, Baldwin","11","33.0869398","-83.2633216"
"Georgia, Banks","3","34.3378598","-83.4970026"
"Georgia, Barrow","22","33.9848611","-83.6996482"
"Georgia, Bartow","159","34.2394683","-84.8406984"
"Georgia, Ben Hill","3","31.7462726","-83.2355879"
"Georgia, Berrien","3","31.2561376","-83.2443709"
"Georgia, Bibb","34","32.8095879","-83.694562"
"Georgia, Bleckley","1","32.4305311","-83.3311795"
"Georgia, Brooks","5","30.8336559","-83.5958387"
"Georgia, Bryan","15","32.0034889","-81.4241017"
"Georgia, Bulloch","5","32.3846338","-81.744832"
"Georgia, Burke","8","33.0482247","-81.9575983"
"Georgia, Butts","9","33.2825083","-83.9548161"
"Georgia, Calhoun","11","31.5311784","-84.614328"
"Georgia, Camden","6","30.9298212","-81.6225075"
"Georgia, Candler","1","32.4146577","-82.0930776"
"Georgia, Carroll","147","33.5588005","-85.0641272"
"Georgia, Catoosa","6","34.8911137","-85.131315"
"Georgia, Charlton","1","30.8775388","-82.1185847"
"Georgia, Chatham","65","31.9668887","-81.0626008"
"Georgia, Chattahoochee","2","32.3320278","-84.7939799"
"Georgia, Chattooga","3","34.4620931","-85.3660518"
"Georgia, Cherokee","114","34.2391265","-84.4720272"
"Georgia, Clarke","59","33.9458693","-83.3557816"
"Georgia, Clay","7","31.5738181","-84.9800814"
"Georgia, Clayton","206","33.5204959","-84.3591713"
"Georgia, Clinch","2","30.8938781","-82.6923467"
"Georgia, Cobb","422","33.9373948","-84.5732006"
"Georgia, Coffee","15","42.2658533","42.7183674"
"Georgia, Colquitt","44","31.1803601","-83.7696152"
"Georgia, Columbia","33","33.5313102","-82.2563979"
"Georgia, Cook","1","31.1455115","-83.4331569"
"Georgia, Coweta","56","33.3500656","-84.7545734"
"Georgia, Crisp","24","31.9152265","-83.77777"
"Georgia, Dade","1","34.8722084","-85.4998791"
"Georgia, Dawson","13","34.4077085","-84.1356771"
"Georgia, DeKalb","483","33.7575613","-84.2186508"
"Georgia, Decatur","16","30.8736613","-84.5740953"
"Georgia, Dodge","5","32.1506514","-83.1520134"
"Georgia, Dooly","12","32.1542383","-83.8253817"
"Georgia, Dougherty","607","31.5426984","-84.1960829"
"Georgia, Douglas","78","33.6995565","-84.7622973"
"Georgia, Early","61","31.3466656","-84.9350894"
"Georgia, Effingham","6","32.3419626","-81.338687"
"Georgia, Elbert","1","34.1194318","-82.8408412"
"Georgia, Emanuel","1","32.6078163","-82.2922815"
"Georgia, Fannin","8","34.8867955","-84.2715585"
"Georgia, Fayette","61","33.3899269","-84.4953763"
"Georgia, Floyd","79","34.2421984","-85.2229248"
"Georgia, Forsyth","61","34.235309","-84.1335644"
"Georgia, Franklin","5","34.3678642","-83.2156575"
"Georgia, Fulton","910","34.0580391","-84.2961283"
"Georgia, Gilmer","1","34.6859788","-84.452696"
"Georgia, Glynn","23","31.2171726","-81.5012681"
"Georgia, Gordon","21","34.5019651","-84.8986308"
"Georgia, Grady","3","30.867067","-84.2322943"
"Georgia, Greene","12","33.5492988","-83.1660939"
"Georgia, Gwinnett","353","33.9566869","-84.0227467"
"Georgia, Habersham","2","34.6270741","-83.5016755"
"Georgia, Hall","81","32.3293809","-83.1137366"
"Georgia, Haralson","10","33.7812701","-85.2001291"
"Georgia, Harris","6","32.7251788","-84.9104641"
"Georgia, Hart","3","34.3410525","-82.9503277"
"Georgia, Heard","2","33.2786225","-85.113782"
"Georgia, Henry","143","33.4519942","-84.1367771"
"Georgia, Houston","58","32.4659752","-83.631394"
"Georgia, Irwin","6","31.5730108","-83.2624513"
"Georgia, Jackson","13","34.1282559","-83.5753386"
"Georgia, Jasper","2","33.3254635","-83.6868559"
"Georgia, Jefferson","2","33.0380388","-82.436141"
"Georgia, Jenkins","2","32.7793141","-81.9613566"
"Georgia, Johnson","1","32.6938608","-82.6374871"
"Georgia, Jones","6","31.6338288","-81.4801073"
"Georgia, Lamar","6","33.0649401","-84.1445952"
"Georgia, Lanier","1","31.029016","-83.0768357"
"Georgia, Laurens","15","32.4239975","-82.9388938"
"Georgia, Lee","123","41.6891877","44.8978077"
"Georgia, Liberty","9","41.6986205","44.8070042"
"Georgia, Lincoln","5","33.7876673","-82.4508165"
"Georgia, Long","1","32.3293809","-83.1137366"
"Georgia, Lowndes","32","30.8195619","-83.2628255"
"Georgia, Lumpkin","7","34.5546076","-83.9926806"
"Georgia, Macon","2","32.8406946","-83.6324022"
"Georgia, Madison","7","34.1307533","-83.1817407"
"Georgia, Marion","1","32.3473263","-84.5282597"
"Georgia, McDuffie","5","33.4631845","-82.4830204"
"Georgia, McIntosh","2","31.4979689","-81.3921575"
"Georgia, Meriwether","10","33.0373582","-84.6717803"
"Georgia, Miller","11","31.1591063","-84.737836"
"Georgia, Mitchell","46","33.2198688","-82.7031896"
"Georgia, Monroe","7","42.9142515","41.1215125"
"Georgia, Morgan","2","41.6895376","44.8093433"
"Georgia, Murray","7","34.7851861","-84.7352262"
"Georgia, Muscogee","31","32.4840651","-84.8502167"
"Georgia, Newton","42","33.5715512","-83.8446101"
"Georgia, Oconee","21","33.829579","-83.4275918"
"Georgia, Oglethorpe","1","33.8702684","-83.1049381"
"Georgia, Paulding","46","33.8908526","-84.8569161"
"Georgia, Peach","10","32.5543462","-83.8350733"
"Georgia, Pickens","9","34.4630619","-84.4682402"
"Georgia, Pierce","16","31.3430068","-82.2352189"
"Georgia, Pike","4","42.03627","43.820347224814604"
"Georgia, Polk","18","33.9981581","-85.1567475"
"Georgia, Pulaski","5","32.2330518","-83.4674404"
"Georgia, Putnam","2","33.3231504","-83.3414172"
"Georgia, Quitman","1","31.8769847","-85.0154412"
"Georgia, Rabun","2","34.8796123","-83.4251357"
"Georgia, Randolph","11","31.7620266","-84.7468429"
"Georgia, Richmond","49","33.385076","-82.09207958530698"
"Georgia, Rockdale","67","33.6430283","-84.0322064"
"Georgia, Schley","5","32.2478949","-84.3175516"
"Georgia, Screven","2","32.7623379","-81.6272037"
"Georgia, Seminole","8","30.951849","-84.8789094"
"Georgia, Spalding","23","33.2591296","-84.2770865"
"Georgia, Stephens","5","34.55119","-83.2976462"
"Georgia, Stewart","1","32.0732743","-84.8483149"
"Georgia, Sumter","67","32.0485072","-84.1862464"
"Georgia, Talbot","3","32.6984691","-84.505404"
"Georgia, Tattnall","3","32.0252793","-82.0580692"
"Georgia, Taylor","2","32.556921","-84.2395154"
"Georgia, Telfair","2","31.9182328","-82.9339377"
"Georgia, Terrell","50","31.7615999","-84.4410234"
"Georgia, Thomas","26","30.8686259","-83.9471866"
"Georgia, Tift","34","31.45874595","-83.51792416411274"
"Georgia, Toombs","5","32.1296839","-82.3299928"
"Georgia, Towns","1","34.8971655","-83.7182775"
"Georgia, Troup","30","33.0237625","-85.0254022"
"Georgia, Turner","12","31.7031592","-83.6214408"
"Georgia, Twiggs","2","32.6467914","-83.4351636"
"Georgia, Union","1","34.8180274","-83.9903969"
"Georgia, Unknown","264","41.384388","43.1507574"
"Georgia, Upson","8","32.8641062","-84.2904968"
"Georgia, Walker","3","34.7418605","-85.3209686"
"Georgia, Walton","16","33.762884","-83.740416"
"Georgia, Ware","17","31.1727229","-82.4829338"
"Georgia, Warren","4","33.4120461","-82.694643"
"Georgia, Washington","5","32.9619979","-82.7748026"
"Georgia, Webster","1","32.050618","-84.5473105"
"Georgia, Wheeler","1","32.112996","-82.7567324"
"Georgia, White","3","34.6322605","-83.7596041"
"Georgia, Whitfield","15","34.7969288","-84.9745026"
"Georgia, Wilcox","1","31.960784","-83.4379708"
"Georgia, Wilkes","3","33.7898432","-82.7385978"
"Georgia, Wilkinson","1","32.7924994","-83.1623561"
"Georgia, Worth","33","31.524179","-83.8712801"
"Guam, Unknown","154","36.9019959","-89.8236976"
"Hawaii, Hawaii","20","19.58955475","-155.44869830348483"
"Hawaii, Honolulu","237","21.304547","-157.8556764"
"Hawaii, Kauai","13","22.050466550000003","-159.55876775017003"
"Hawaii, Maui","36","20.802956799999997","-156.31068331602177"
"Hawaii, Unknown","11","32.1978148","-110.819212"
"Idaho, Ada","351","43.4136539","-116.2367421"
"Idaho, Adams","1","44.8677448","-116.4572399"
"Idaho, Bannock","5","42.6936188","-112.2506044"
"Idaho, Bingham","2","43.1881598","-112.3598354"
"Idaho, Blaine","405","43.3336455","-113.8808311"
"Idaho, Bonner","2","48.2663565","-116.5952716"
"Idaho, Bonneville","5","43.3993844","-111.4752257"
"Idaho, Camas","1","43.4064019","-114.8070143"
"Idaho, Canyon","89","43.6435692","-116.7017144"
"Idaho, Cassia","4","42.2219306","-113.5777087"
"Idaho, Custer","2","44.2339362","-114.2286662"
"Idaho, Elmore","10","43.3073766","-115.5411027"
"Idaho, Fremont","1","44.2309391","-111.4218314"
"Idaho, Gem","7","44.0123019","-116.3846609"
"Idaho, Gooding","1","43.0031041","-114.8286924"
"Idaho, Idaho","2","45.7680684","-115.5160723"
"Idaho, Jefferson","3","43.8010248","-112.3498022"
"Idaho, Jerome","11","42.702266","-114.2867043"
"Idaho, Kootenai","37","47.654857","-116.7162916"
"Idaho, Latah","1","46.8171611","-116.693441"
"Idaho, Lewis","1","46.2651949","-116.4050453"
"Idaho, Lincoln","7","43.0138672","-114.1650584"
"Idaho, Madison","4","43.7740801","-111.6304151"
"Idaho, Minidoka","1","42.844092","-113.6059588"
"Idaho, Nez Perce","13","46.3959861","-116.8072307"
"Idaho, Owyhee","2","42.4677336","-116.1590085"
"Idaho, Payette","5","44.0374651","-116.7651123"
"Idaho, Teton","3","43.7647107","-111.2081469"
"Idaho, Twin Falls","33","42.5704219","-114.4603171"
"Idaho, Valley","3","43.6447642","-114.0154071"
"Idaho, Washington","1","44.3986887","-116.7400859"
"Illinois, Adams","2","39.9787786","-91.2110065"
"Illinois, Bond","3","38.8630331","-89.4391416"
"Illinois, Bureau","2","41.4016294","-89.5341179"
"Illinois, Carroll","4","42.0647352","-89.9556785"
