level_0,index,county,cases,latitude,longitude
210,210,"Colorado, Broomfield",36,39.92038270000001,-105.06914640000002
211,211,"Colorado, Chaffee",19,38.7413025,-106.1825012
212,212,"Colorado, Clear Creek",6,39.67545910000001,-105.64353490000002
213,213,"Colorado, Costilla",3,37.2367948,-105.4182008
214,214,"Colorado, Crowley",1,38.3394806,-103.8263042
215,215,"Colorado, Custer",2,38.10729620000001,-105.3543375
216,216,"Colorado, Delta",4,38.8368777,-107.8568294
217,217,"Colorado, Denver",716,39.7392364,-104.98486229999999
218,218,"Colorado, Douglas",194,39.34204370000001,-104.94689450000001
219,219,"Colorado, Eagle",333,39.6161124,-106.71728440000001
220,220,"Colorado, El Paso",374,38.8287435,-104.5253456
221,221,"Colorado, Elbert",6,39.3138822,-104.0868973
222,222,"Colorado, Fremont",2,38.4692006,-105.4328622
223,223,"Colorado, Garfield",45,39.5462048,-107.87761440000001
224,224,"Colorado, Grand",4,46.854918100000006,9.515483999999999
225,225,"Colorado, Gunnison",88,38.64767020000001,-107.06031259999999
226,226,"Colorado, Hinsdale",1,37.813681,-107.3304179
227,227,"Colorado, Huerfano",1,37.701398299999994,-105.0218531
228,228,"Colorado, Jefferson",440,39.5699803,-105.2561919
229,229,"Colorado, Kit Carson",4,39.3080613,-102.62075
230,230,"Colorado, La Plata",25,37.2889732,-107.85390290000001
231,231,"Colorado, Lake",3,39.273651,-106.28967800000001
232,232,"Colorado, Larimer",134,40.6810174,-105.47269070000002
233,233,"Colorado, Las Animas",1,37.309662599999996,-104.05914270000001
234,234,"Colorado, Lincoln",1,38.92082960000001,-103.4885462
235,235,"Colorado, Logan",7,40.7250975,-103.12213790000001
236,236,"Colorado, Mesa",20,39.0589084,-108.565996
237,237,"Colorado, Mineral",2,37.6584133,-106.9311267
238,238,"Colorado, Moffat",4,40.6083135,-108.25234499999999
239,239,"Colorado, Montezuma",3,37.34765460000001,-108.62608490000001
